"material","disposition","impactCategory","impactUnits","impactFactor","warmMaterial","ifSource","impactGroup"
"AsepticContainers","combustion","Human toxicity","CTUh",-1.29031478615058e-07,NA,"DEQ","Toxicity"
"AsepticContainers","combustion","Water consumption","kg",-2644.25035334588,NA,"DEQ","Water"
"AsepticContainers","landfilling","Air PM2.5","kg PM2.5 eq.",0.0363373269283939,NA,"DEQ","Air"
"AsepticContainers","landfilling","Energy demand","MJ",259.807708215092,NA,"DEQ","Energy"
"AsepticContainers","landfilling","Eutrophication","kg N eq.",0.401351783299944,NA,"DEQ","Eutrophication"
"AsepticContainers","landfilling","Global warming 100","kg CO2 eq.",313.143218412287,NA,"DEQ","GHG's"
"AsepticContainers","landfilling","Global warming 100(B)","kg CO2 eq.",481.187181282308,NA,"DEQ","GHG's"
"AsepticContainers","landfilling","Global warming 20","kg CO2 eq.",1126.68619388913,NA,"DEQ","GHG's"
"AsepticContainers","landfilling","Global warming 20(B)","kg CO2 eq.",1271.73340158666,NA,"DEQ","GHG's"
"AsepticContainers","landfilling","Human toxicity","CTUh",2.21361826744543e-07,NA,"DEQ","Toxicity"
"AsepticContainers","landfilling","Water consumption","kg",-301.439377771894,NA,"DEQ","Water"
"AsepticContainers","production","Air PM2.5","kg PM2.5 eq.",0.378153202198446,NA,"DEQ","Air"
"AsepticContainers","production","Energy demand","MJ",49755.4863535805,NA,"DEQ","Energy"
"AsepticContainers","production","Eutrophication","kg N eq.",0.587206643872864,NA,"DEQ","Eutrophication"
"AsepticContainers","production","Global warming 100","kg CO2 eq.",1635.22943724562,NA,"DEQ","GHG's"
"AsepticContainers","production","Global warming 100(B)","kg CO2 eq.",368.197778351893,NA,"DEQ","GHG's"
"AsepticContainers","production","Global warming 20","kg CO2 eq.",1970.51614592003,NA,"DEQ","GHG's"
"AsepticContainers","production","Global warming 20(B)","kg CO2 eq.",701.800023703288,NA,"DEQ","GHG's"
"AsepticContainers","production","Human toxicity","CTUh",7.17096532275164e-06,NA,"DEQ","Toxicity"
"AsepticContainers","production","Water consumption","kg",13772.6687388999,NA,"DEQ","Water"
"Cardboard","anaerobicDigestion","Energy use","MJ",NA,"Corrugated Containers","WARM","Energy"
"Cardboard","anaerobicDigestion","Global warming","kg CO2 eq.",NA,"Corrugated Containers","WARM","GHG's"
"Cardboard","combustion","Air PM2.5","kg PM2.5 eq.",-0.0105736194654945,"Corrugated Containers","DEQ","Air"
"Cardboard","combustion","Energy demand","MJ",-4968.67695260073,"Corrugated Containers","DEQ","Energy"
"Cardboard","combustion","Energy use","MJ",-6999.97594506479,"Corrugated Containers","WARM","Energy"
"Cardboard","combustion","Eutrophication","kg N eq.",-0.010240855122116,"Corrugated Containers","DEQ","Eutrophication"
"Cardboard","combustion","Global warming 100","kg CO2 eq.",-218.044163096948,"Corrugated Containers","DEQ","GHG's"
"Cardboard","combustion","Global warming 100(B)","kg CO2 eq.",1024.54758347802,"Corrugated Containers","DEQ","GHG's"
"Cardboard","combustion","Global warming 20","kg CO2 eq.",-246.435567959266,"Corrugated Containers","DEQ","GHG's"
"Cardboard","combustion","Global warming 20(B)","kg CO2 eq.",996.162767343407,"Corrugated Containers","DEQ","GHG's"
"Cardboard","combustion","Global warming","kg CO2 eq.",-489.030302480749,"Corrugated Containers","WARM","GHG's"
"Cardboard","combustion","Human toxicity","CTUh",-5.99245180579026e-08,"Corrugated Containers","DEQ","Toxicity"
"Cardboard","combustion","Water consumption","kg",-4204.82990057021,"Corrugated Containers","DEQ","Water"
"Cardboard","composting","Energy use","MJ",NA,"Corrugated Containers","WARM","Energy"
"Cardboard","composting","Global warming","kg CO2 eq.",NA,"Corrugated Containers","WARM","GHG's"
"Cardboard","landfilling","Air PM2.5","kg PM2.5 eq.",0.0471689499553506,"Corrugated Containers","DEQ","Air"
"Cardboard","landfilling","Energy demand","MJ",83.6724307567726,"Corrugated Containers","DEQ","Energy"
"Cardboard","landfilling","Energy use","MJ",-194.565754177479,"Corrugated Containers","WARM","Energy"
"Cardboard","landfilling","Eutrophication","kg N eq.",0.487708298140568,"Corrugated Containers","DEQ","Eutrophication"
"Cardboard","landfilling","Global warming 100","kg CO2 eq.",435.092117872754,"Corrugated Containers","DEQ","GHG's"
"Cardboard","landfilling","Global warming 100(B)","kg CO2 eq.",678.67035849629,"Corrugated Containers","DEQ","GHG's"
"Cardboard","landfilling","Global warming 20","kg CO2 eq.",1608.29993242812,"Corrugated Containers","DEQ","GHG's"
"Cardboard","landfilling","Global warming 20(B)","kg CO2 eq.",1818.65502544913,"Corrugated Containers","DEQ","GHG's"
"Cardboard","landfilling","Global warming","kg CO2 eq.",255.645572663017,"Corrugated Containers","WARM","GHG's"
"Cardboard","landfilling","Human toxicity","CTUh",2.26511267117146e-07,"Corrugated Containers","DEQ","Toxicity"
"Cardboard","landfilling","Water consumption","kg",-473.822795907225,"Corrugated Containers","DEQ","Water"
"Cardboard","production","Air PM2.5","kg PM2.5 eq.",0.472262488661401,"Corrugated Containers","DEQ","Air"
"Cardboard","production","Energy demand","MJ",40533.5596713256,"Corrugated Containers","DEQ","Energy"
"Cardboard","production","Energy use","MJ",23549.3872730583,"Corrugated Containers","WARM","Energy"
"Cardboard","production","Eutrophication","kg N eq.",1.68379514384011,"Corrugated Containers","DEQ","Eutrophication"
"Cardboard","production","Global warming 100","kg CO2 eq.",1234.50557986384,"Corrugated Containers","DEQ","GHG's"
"Cardboard","production","Global warming 100(B)","kg CO2 eq.",-596.378680027345,"Corrugated Containers","DEQ","GHG's"
"Cardboard","production","Global warming 20","kg CO2 eq.",1524.53039382684,"Corrugated Containers","DEQ","GHG's"
"Cardboard","production","Global warming 20(B)","kg CO2 eq.",-310.301849734166,"Corrugated Containers","DEQ","GHG's"
"Cardboard","production","Global warming","kg CO2 eq.",5575.20831608294,"Corrugated Containers","WARM","GHG's"
"Cardboard","production","Human toxicity","CTUh",3.38095665356388e-06,"Corrugated Containers","DEQ","Toxicity"
"Cardboard","production","Water consumption","kg",9282.10403070244,"Corrugated Containers","DEQ","Water"
"Cardboard","recycling","Air PM2.5","kg PM2.5 eq.",-0.35777223678157,"Corrugated Containers","DEQ","Air"
"Cardboard","recycling","Energy demand","MJ",-32606.3822261443,"Corrugated Containers","DEQ","Energy"
"Cardboard","recycling","Energy use","MJ",-15934.7677521998,"Corrugated Containers","WARM","Energy"
"Cardboard","recycling","Eutrophication","kg N eq.",-1.37255280072238,"Corrugated Containers","DEQ","Eutrophication"
"Cardboard","recycling","Global warming 100","kg CO2 eq.",-901.438711940187,"Corrugated Containers","DEQ","GHG's"
"Cardboard","recycling","Global warming 100(B)","kg CO2 eq.",721.227848591271,"Corrugated Containers","DEQ","GHG's"
"Cardboard","recycling","Global warming 20","kg CO2 eq.",-1143.23338848742,"Corrugated Containers","DEQ","GHG's"
"Cardboard","recycling","Global warming 20(B)","kg CO2 eq.",482.925676041635,"Corrugated Containers","DEQ","GHG's"
"Cardboard","recycling","Global warming","kg CO2 eq.",-3135.33690867899,"Corrugated Containers","WARM","GHG's"
"Cardboard","recycling","Human toxicity","CTUh",-2.9006046814699e-06,"Corrugated Containers","DEQ","Toxicity"
"Cardboard","recycling","Water consumption","kg",-5280.99752582619,"Corrugated Containers","DEQ","Water"
"Carpeting","anaerobicDigestion","Energy use","MJ",NA,"Carpet","WARM","Energy"
"Carpeting","anaerobicDigestion","Global warming","kg CO2 eq.",NA,"Carpet","WARM","GHG's"
"Carpeting","combustion","Air PM2.5","kg PM2.5 eq.",-0.0283427461949476,"Carpet","DEQ","Air"
"Carpeting","combustion","Energy demand","MJ",-12274.614055386,"Carpet","DEQ","Energy"
"Carpeting","combustion","Energy use","MJ",-7553.57336113764,"Carpet","WARM","Energy"
"Carpeting","combustion","Eutrophication","kg N eq.",-0.0562943983998656,"Carpet","DEQ","Eutrophication"
"Carpeting","combustion","Global warming 100","kg CO2 eq.",1609.99543057965,"Carpet","DEQ","GHG's"
"Carpeting","combustion","Global warming 100(B)","kg CO2 eq.",1609.76528149008,"Carpet","DEQ","GHG's"
"Carpeting","combustion","Global warming 20","kg CO2 eq.",1534.16199670532,"Carpet","DEQ","GHG's"
"Carpeting","combustion","Global warming 20(B)","kg CO2 eq.",1533.94676502857,"Carpet","DEQ","GHG's"
"Carpeting","combustion","Global warming","kg CO2 eq.",1098.06721007512,"Carpet","WARM","GHG's"
"Carpeting","combustion","Human toxicity","CTUh",-5.7014705180135e-08,"Carpet","DEQ","Toxicity"
"Carpeting","combustion","Water consumption","kg",-11553.6775107631,"Carpet","DEQ","Water"
"Carpeting","composting","Energy use","MJ",NA,"Carpet","WARM","Energy"
"Carpeting","composting","Global warming","kg CO2 eq.",NA,"Carpet","WARM","GHG's"
"Carpeting","landfilling","Air PM2.5","kg PM2.5 eq.",0.0119914413234302,"Carpet","DEQ","Air"
"Carpeting","landfilling","Energy demand","MJ",656.292732961003,"Carpet","DEQ","Energy"
"Carpeting","landfilling","Energy use","MJ",283.043033402762,"Carpet","WARM","Energy"
"Carpeting","landfilling","Eutrophication","kg N eq.",0.241070320880307,"Carpet","DEQ","Eutrophication"
"Carpeting","landfilling","Global warming 100","kg CO2 eq.",38.9759305368053,"Carpet","DEQ","GHG's"
"Carpeting","landfilling","Global warming 100(B)","kg CO2 eq.",37.1846134164408,"Carpet","DEQ","GHG's"
"Carpeting","landfilling","Global warming 20","kg CO2 eq.",43.8386938229896,"Carpet","DEQ","GHG's"
"Carpeting","landfilling","Global warming 20(B)","kg CO2 eq.",42.0440143081177,"Carpet","DEQ","GHG's"
"Carpeting","landfilling","Global warming","kg CO2 eq.",20.254519141196,"Carpet","WARM","GHG's"
"Carpeting","landfilling","Human toxicity","CTUh",2.15399353970057e-07,"Carpet","DEQ","Toxicity"
"Carpeting","landfilling","Water consumption","kg",86.2137150802446,"Carpet","DEQ","Water"
"Carpeting","production","Air PM2.5","kg PM2.5 eq.",0.457243207197853,"Carpet","DEQ","Air"
"Carpeting","production","Energy demand","MJ",84159.7463971176,"Carpet","DEQ","Energy"
"Carpeting","production","Energy use","MJ",96078.361011376,"Carpet","WARM","Energy"
"Carpeting","production","Eutrophication","kg N eq.",0.891778082682113,"Carpet","DEQ","Eutrophication"
"Carpeting","production","Global warming 100","kg CO2 eq.",3651.55627740442,"Carpet","DEQ","GHG's"
"Carpeting","production","Global warming 100(B)","kg CO2 eq.",3650.08849277201,"Carpet","DEQ","GHG's"
"Carpeting","production","Global warming 20","kg CO2 eq.",4178.21889042424,"Carpet","DEQ","GHG's"
"Carpeting","production","Global warming 20(B)","kg CO2 eq.",4176.5053317055,"Carpet","DEQ","GHG's"
"Carpeting","production","Global warming","kg CO2 eq.",3683.12693092599,"Carpet","WARM","GHG's"
"Carpeting","production","Human toxicity","CTUh",0.000133165504519596,"Carpet","DEQ","Toxicity"
"Carpeting","production","Water consumption","kg",17850.6447749916,"Carpet","DEQ","Water"
"Carpeting","recycling","Air PM2.5","kg PM2.5 eq.",-0.0428201328765807,"Carpet","DEQ","Air"
"Carpeting","recycling","Energy demand","MJ",-19781.9042548133,"Carpet","DEQ","Energy"
"Carpeting","recycling","Energy use","MJ",-22646.0834434241,"Carpet","WARM","Energy"
"Carpeting","recycling","Eutrophication","kg N eq.",-0.100713026424679,"Carpet","DEQ","Eutrophication"
"Carpeting","recycling","Global warming 100","kg CO2 eq.",-956.526849371491,"Carpet","DEQ","GHG's"
"Carpeting","recycling","Global warming 100(B)","kg CO2 eq.",-959.242762728825,"Carpet","DEQ","GHG's"
"Carpeting","recycling","Global warming 20","kg CO2 eq.",-1091.59057702637,"Carpet","DEQ","GHG's"
"Carpeting","recycling","Global warming 20(B)","kg CO2 eq.",-1094.26363593254,"Carpet","DEQ","GHG's"
"Carpeting","recycling","Global warming","kg CO2 eq.",-2381.63021791684,"Carpet","WARM","GHG's"
"Carpeting","recycling","Human toxicity","CTUh",-1.18679478878448e-06,"Carpet","DEQ","Toxicity"
"Carpeting","recycling","Water consumption","kg",-2248.09190622614,"Carpet","DEQ","Water"
"Electronics","anaerobicDigestion","Energy use","MJ",NA,"Mixed Electronics","WARM","Energy"
"Electronics","anaerobicDigestion","Global warming","kg CO2 eq.",NA,"Mixed Electronics","WARM","GHG's"
"Electronics","combustion","Energy use","MJ",-5782.72192522553,"Mixed Electronics","WARM","Energy"
"Electronics","combustion","Global warming","kg CO2 eq.",386.885418492358,"Mixed Electronics","WARM","GHG's"
"Electronics","composting","Energy use","MJ",NA,"Mixed Electronics","WARM","Energy"
"Electronics","composting","Global warming","kg CO2 eq.",NA,"Mixed Electronics","WARM","GHG's"
"Electronics","landfilling","Air PM2.5","kg PM2.5 eq.",0.031371632338805,"Mixed Electronics","DEQ","Air"
"Electronics","landfilling","Energy demand","MJ",832.876304702212,"Mixed Electronics","DEQ","Energy"
"Electronics","landfilling","Energy use","MJ",283.043033402762,"Mixed Electronics","WARM","Energy"
"Electronics","landfilling","Eutrophication","kg N eq.",0.547137537584746,"Mixed Electronics","DEQ","Eutrophication"
"Electronics","landfilling","Global warming 100","kg CO2 eq.",83.5262886108262,"Mixed Electronics","DEQ","GHG's"
"Electronics","landfilling","Global warming 100(B)","kg CO2 eq.",85.613302973621,"Mixed Electronics","DEQ","GHG's"
"Electronics","landfilling","Global warming 20","kg CO2 eq.",113.405620120787,"Mixed Electronics","DEQ","GHG's"
"Electronics","landfilling","Global warming 20(B)","kg CO2 eq.",114.82790312725,"Mixed Electronics","DEQ","GHG's"
"Electronics","landfilling","Global warming","kg CO2 eq.",20.254519141196,"Mixed Electronics","WARM","GHG's"
"Electronics","landfilling","Human toxicity","CTUh",7.29671798441323e-06,"Mixed Electronics","DEQ","Toxicity"
"Electronics","landfilling","Water consumption","kg",216.397761427033,"Mixed Electronics","DEQ","Water"
"Electronics","production","Air PM2.5","kg PM2.5 eq.",58.2038864357091,"Mixed Electronics","DEQ","Air"
"Electronics","production","Energy demand","MJ",468130.371263122,"Mixed Electronics","DEQ","Energy"
"Electronics","production","Energy use","MJ",NA,"Mixed Electronics","WARM","Energy"
"Electronics","production","Eutrophication","kg N eq.",554.932701438097,"Mixed Electronics","DEQ","Eutrophication"
"Electronics","production","Global warming 100","kg CO2 eq.",31323.8826166278,"Mixed Electronics","DEQ","GHG's"
"Electronics","production","Global warming 100(B)","kg CO2 eq.",31048.7588820679,"Mixed Electronics","DEQ","GHG's"
"Electronics","production","Global warming 20","kg CO2 eq.",37494.2490744171,"Mixed Electronics","DEQ","GHG's"
"Electronics","production","Global warming 20(B)","kg CO2 eq.",37214.471512277,"Mixed Electronics","DEQ","GHG's"
"Electronics","production","Global warming","kg CO2 eq.",NA,"Mixed Electronics","WARM","GHG's"
"Electronics","production","Human toxicity","CTUh",0.00567532212799346,"Mixed Electronics","DEQ","Toxicity"
"Electronics","production","Water consumption","kg",271442.116769667,"Mixed Electronics","DEQ","Water"
"Electronics","recycling","Air PM2.5","kg PM2.5 eq.",-1.42329441653016,"Mixed Electronics","DEQ","Air"
"Electronics","recycling","Energy demand","MJ",-13408.5009766602,"Mixed Electronics","DEQ","Energy"
"Electronics","recycling","Energy use","MJ",-12534.5398559446,"Mixed Electronics","WARM","Energy"
"Electronics","recycling","Eutrophication","kg N eq.",-47.4229570929943,"Mixed Electronics","DEQ","Eutrophication"
"Electronics","recycling","Global warming 100","kg CO2 eq.",-947.236993961961,"Mixed Electronics","DEQ","GHG's"
"Electronics","recycling","Global warming 100(B)","kg CO2 eq.",-946.895107108197,"Mixed Electronics","DEQ","GHG's"
"Electronics","recycling","Global warming 20","kg CO2 eq.",-1061.30188373568,"Mixed Electronics","DEQ","GHG's"
"Electronics","recycling","Global warming 20(B)","kg CO2 eq.",-1061.16556956826,"Mixed Electronics","DEQ","GHG's"
"Electronics","recycling","Global warming","kg CO2 eq.",-789.099765380129,"Mixed Electronics","WARM","GHG's"
"Electronics","recycling","Human toxicity","CTUh",-0.000381057380387514,"Mixed Electronics","DEQ","Toxicity"
"Electronics","recycling","Water consumption","kg",-8811.46346466323,"Mixed Electronics","DEQ","Water"
"EPS","combustion","Air PM2.5","kg PM2.5 eq.",-0.1060057686397,NA,"DEQ","Air"
"EPS","combustion","Energy demand","MJ",-30179.1791762696,NA,"DEQ","Energy"
"EPS","combustion","Eutrophication","kg N eq.",-0.130616666754766,NA,"DEQ","Eutrophication"
"EPS","combustion","Global warming 100","kg CO2 eq.",1401.90744075001,NA,"DEQ","GHG's"
"EPS","combustion","Global warming 100(B)","kg CO2 eq.",1402.25190630955,NA,"DEQ","GHG's"
"EPS","combustion","Global warming 20","kg CO2 eq.",1130.02811056296,NA,"DEQ","GHG's"
"EPS","combustion","Global warming 20(B)","kg CO2 eq.",1130.42515252695,NA,"DEQ","GHG's"
"EPS","combustion","Human toxicity","CTUh",-3.26385472034547e-07,NA,"DEQ","Toxicity"
"EPS","combustion","Water consumption","kg",743.153675256064,NA,"DEQ","Water"
"EPS","landfilling","Air PM2.5","kg PM2.5 eq.",0.0119914413234302,NA,"DEQ","Air"
"EPS","landfilling","Energy demand","MJ",656.292732961003,NA,"DEQ","Energy"
"EPS","landfilling","Eutrophication","kg N eq.",0.241070320880307,NA,"DEQ","Eutrophication"
"EPS","landfilling","Global warming 100","kg CO2 eq.",38.9759305368053,NA,"DEQ","GHG's"
"EPS","landfilling","Global warming 100(B)","kg CO2 eq.",37.1846134164408,NA,"DEQ","GHG's"
"EPS","landfilling","Global warming 20","kg CO2 eq.",43.8386938229896,NA,"DEQ","GHG's"
"EPS","landfilling","Global warming 20(B)","kg CO2 eq.",42.0440143081177,NA,"DEQ","GHG's"
"EPS","landfilling","Human toxicity","CTUh",2.15399353970057e-07,NA,"DEQ","Toxicity"
"EPS","landfilling","Water consumption","kg",86.2137150802446,NA,"DEQ","Water"
"EPS","production","Air PM2.5","kg PM2.5 eq.",0.199305006480536,NA,"DEQ","Air"
"EPS","production","Energy demand","MJ",81329.8960379225,NA,"DEQ","Energy"
"EPS","production","Eutrophication","kg N eq.",0.26267981522755,NA,"DEQ","Eutrophication"
"EPS","production","Global warming 100","kg CO2 eq.",2618.3671650088,NA,"DEQ","GHG's"
"EPS","production","Global warming 100(B)","kg CO2 eq.",2620.36569066936,NA,"DEQ","GHG's"
"EPS","production","Global warming 20","kg CO2 eq.",3139.54839886908,NA,"DEQ","GHG's"
"EPS","production","Global warming 20(B)","kg CO2 eq.",3141.12680270003,NA,"DEQ","GHG's"
"EPS","production","Human toxicity","CTUh",2.65657040822111e-06,NA,"DEQ","Toxicity"
"EPS","production","Water consumption","kg",12604.0814198629,NA,"DEQ","Water"
"EPS","recycling","Air PM2.5","kg PM2.5 eq.",-0.0897917719897981,NA,"DEQ","Air"
"EPS","recycling","Energy demand","MJ",-55975.2905172963,NA,"DEQ","Energy"
"EPS","recycling","Eutrophication","kg N eq.",-0.079937345741397,NA,"DEQ","Eutrophication"
"EPS","recycling","Global warming 100","kg CO2 eq.",-1596.91371648685,NA,"DEQ","GHG's"
"EPS","recycling","Global warming 100(B)","kg CO2 eq.",-1597.35401500066,NA,"DEQ","GHG's"
"EPS","recycling","Global warming 20","kg CO2 eq.",-1984.05567245916,NA,"DEQ","GHG's"
"EPS","recycling","Global warming 20(B)","kg CO2 eq.",-1984.44552700311,NA,"DEQ","GHG's"
"EPS","recycling","Human toxicity","CTUh",-1.36189546176273e-06,NA,"DEQ","Toxicity"
"EPS","recycling","Water consumption","kg",-6885.78874147356,NA,"DEQ","Water"
"FoodWaste","anaerobicDigestion","Air PM2.5","kg PM2.5 eq.",0.12158164476491,"Food Waste","DEQ","Air"
"FoodWaste","anaerobicDigestion","Energy demand","MJ",-5592.49067097309,"Food Waste","DEQ","Energy"
"FoodWaste","anaerobicDigestion","Energy use","MJ",-1520.6442545023,"Food Waste","WARM","Energy"
